family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
AE,AE,,,,all,all,age,fine_tuning,0,0.6119,0.3271,3.98,baselines_paper,AE_all_all_age_fold0.csv
AE,AE,,,,all,all,age,linear_probe,0,1.7106,-3.6328,12.18,baselines_paper,AE_all_all_age_fold0.csv
AE,AE,,,,all,all,age,fine_tuning,1,0.4761,0.7402,3.82,baselines_paper,AE_all_all_age_fold1.csv
AE,AE,,,,all,all,age,linear_probe,1,1.7024,-2.7387,12.34,baselines_paper,AE_all_all_age_fold1.csv
AE,AE,,,,all,all,age,fine_tuning,2,0.762,0.4948,3.82,baselines_paper,AE_all_all_age_fold2.csv
AE,AE,,,,all,all,age,linear_probe,2,4.2454,-0.8121,12.28,baselines_paper,AE_all_all_age_fold2.csv
AE,AE,,,,all,all,age,fine_tuning,3,0.439,0.7388,3.52,baselines_paper,AE_all_all_age_fold3.csv
AE,AE,,,,all,all,age,linear_probe,3,1.291,-0.7807,11.6,baselines_paper,AE_all_all_age_fold3.csv
AE,AE,,,,all,all,age,fine_tuning,4,1.017,-0.2177,4.42,baselines_paper,AE_all_all_age_fold4.csv
AE,AE,,,,all,all,age,linear_probe,4,3.0123,-13.9357,11.26,baselines_paper,AE_all_all_age_fold4.csv
AE,AE,,,,all,all,age,fine_tuning,5,0.4116,0.8159,4.97,baselines_paper,AE_all_all_age_fold5.csv
AE,AE,,,,all,all,age,linear_probe,5,1.0684,-0.142,13.32,baselines_paper,AE_all_all_age_fold5.csv
AE,AE,,,,all,all,age,fine_tuning,6,0.5898,0.5604,3.82,baselines_paper,AE_all_all_age_fold6.csv
AE,AE,,,,all,all,age,linear_probe,6,1.5655,-1.7775,11.16,baselines_paper,AE_all_all_age_fold6.csv
AE,AE,,,,all,all,age,fine_tuning,7,0.4531,0.7882,5.28,baselines_paper,AE_all_all_age_fold7.csv
AE,AE,,,,all,all,age,linear_probe,7,1.0017,-0.0047,11.55,baselines_paper,AE_all_all_age_fold7.csv
AE,AE,,,,all,all,age,fine_tuning,8,0.4344,0.8032,5.59,baselines_paper,AE_all_all_age_fold8.csv
AE,AE,,,,all,all,age,linear_probe,8,1.1927,-0.4934,15.41,baselines_paper,AE_all_all_age_fold8.csv
AE,AE,,,,all,all,age,fine_tuning,9,0.5762,0.5937,5.06,baselines_paper,AE_all_all_age_fold9.csv
AE,AE,,,,all,all,age,linear_probe,9,1.4258,-1.5253,12.11,baselines_paper,AE_all_all_age_fold9.csv
